Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,ORD,Rk,OVD,Rk,DPD,Rk,DLD,Rk,DRD,Rk,DVD,Rk
1,Marshall,12,1,1.93,3.45,2,1.67,45,3.86,2,5.48,18,1.52,14,0.00,1,1.82,18,3.91,4
2,Ohio State,14,1,1.86,3.44,3,3.11,3,3.51,4,5.69,3,1.58,18,0.95,26,1.88,29,5.31,101
3,Oregon,12,2,1.80,3.77,1,2.38,12,4.04,1,5.54,12,1.97,54,1.41,63,2.16,54,4.61,27
4,TCU,11,1,1.69,2.99,9,2.88,7,3.01,18,5.30,40,1.30,4,0.83,20,1.47,5,4.80,46
5,Alabama,11,2,1.46,2.89,13,2.23,19,3.07,15,5.45,21,1.43,9,0.88,24,1.71,13,4.03,9
6,Baylor,10,2,1.41,3.32,5,2.96,5,3.40,7,5.50,17,1.91,42,1.47,68,2.03,39,5.18,87
7,Georgia,9,3,1.32,3.10,7,3.62,1,2.98,19,5.31,38,1.78,31,0.38,4,2.36,70,5.23,95
8,Michigan State,10,2,1.28,3.04,8,1.00,96,3.48,5,5.15,53,1.77,28,1.11,41,1.87,28,5.21,93
9,Wisconsin,10,3,1.11,2.78,17,1.23,80,3.20,9,5.44,27,1.67,23,1.55,72,1.70,11,5.25,96
10,Mississippi State,9,3,1.05,2.59,27,2.00,27,2.80,26,4.95,71,1.53,16,1.79,85,1.45,4,4.30,13
11,Boise State,12,2,0.99,2.77,18,1.32,72,3.08,14,5.45,22,1.78,30,1.57,73,1.83,21,5.00,71
12,Georgia Tech,10,3,0.92,3.37,4,3.00,4,3.45,6,5.59,8,2.45,93,2.29,103,2.48,85,4.61,26
13,Memphis,9,3,0.92,2.25,53,0.80,109,2.45,55,5.14,55,1.32,5,0.96,27,1.48,6,4.32,14
14,Louisiana Tech,9,4,0.90,2.57,28,1.73,41,2.71,29,5.02,65,1.67,22,0.65,13,1.93,31,4.56,22
15,Colorado State,9,3,0.90,2.94,10,2.24,18,3.19,10,5.58,10,2.04,60,1.89,92,2.07,44,4.64,28
