Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
1,Ohio State,12,2,2.02,3.29,5,2.45,16,3.14,5,4.55,5,1.27,6,0.94,26,0.99,5,3.10,50
2,Alabama,12,1,1.87,2.83,15,2.04,28,2.82,14,3.50,52,0.96,2,0.76,13,0.92,4,2.09,4
3,Georgia,12,2,1.81,3.04,10,2.74,10,2.64,19,4.42,10,1.23,5,1.00,29,1.02,6,2.65,19
4,Penn State,11,2,1.79,3.09,8,2.64,11,2.87,10,3.82,36,1.30,8,0.47,4,1.24,14,3.28,57
5,Washington,9,3,1.72,3.07,9,2.52,12,2.83,11,4.07,20,1.34,10,1.32,57,1.10,7,3.27,56
6,Central Florida,12,0,1.64,3.35,4,3.09,4,3.20,4,3.84,33,1.71,30,2.25,104,1.22,13,2.78,29
7,Wisconsin,13,1,1.55,2.64,23,1.06,99,2.54,24,4.82,2,1.09,3,0.75,10,0.91,3,2.35,10
8,Clemson,11,2,1.50,2.44,37,1.47,69,2.25,42,3.69,44,0.94,1,1.06,39,0.65,1,2.05,2
9,Oklahoma,12,2,1.49,3.79,1,3.24,2,3.98,1,3.92,28,2.30,75,1.57,71,2.13,74,3.81,96
10,Auburn,9,4,1.45,2.66,22,2.00,30,2.35,36,4.23,16,1.20,4,1.17,47,1.16,9,1.42,1
11,Oklahoma State,10,3,1.41,3.45,2,3.04,6,3.37,3,4.11,19,2.04,54,1.13,44,2.20,78,2.83,33
12,Florida Atlantic,10,3,1.30,3.39,3,3.15,3,2.95,8,4.65,4,2.10,58,1.35,59,2.05,70,3.14,51
13,South Florida,9,2,1.16,2.78,18,2.13,27,2.63,21,3.78,39,1.62,22,0.33,1,1.59,30,2.84,35
14,Notre Dame,10,3,1.10,2.73,20,1.41,72,2.64,20,5.29,1,1.63,23,0.85,19,1.45,20,2.88,38
15,Toledo,10,3,0.86,2.87,12,2.83,8,2.38,34,3.87,30,2.01,50,0.89,21,1.84,55,4.47,121
16,Boise State,11,3,0.84,2.51,33,1.33,77,2.41,32,3.78,41,1.67,26,0.97,28,1.49,23,3.42,67
17,TCU,10,3,0.84,2.54,30,1.48,68,2.45,28,3.79,37,1.70,29,0.93,24,1.80,44,2.67,20
18,Troy,10,2,0.83,2.26,52,1.62,55,2.05,59,3.35,67,1.44,12,1.85,83,0.80,2,2.67,20
19,Ohio,8,4,0.83,2.86,14,1.70,49,2.68,15,4.41,11,2.03,53,1.06,40,2.07,72,3.04,46
20,Memphis,9,3,0.78,3.12,7,3.27,1,2.83,12,3.77,42,2.33,76,2.54,115,1.80,45,3.96,101
21,Appalachian State,8,4,0.71,2.45,35,1.61,56,2.08,55,3.56,48,1.74,32,1.04,36,1.62,35,2.75,25
22,Louisville,7,5,0.71,2.87,13,2.20,23,3.12,6,2.67,107,2.16,65,0.89,21,1.94,64,4.29,111
23,Stanford,9,5,0.69,2.78,18,1.71,46,2.90,9,3.16,81,2.10,57,2.42,110,1.90,61,3.33,63
24,Army,9,3,0.69,3.24,6,2.48,15,3.46,2,3.46,54,2.56,98,3.11,129,2.35,89,2.85,36
25,Mississippi State,8,4,0.69,2.37,40,0.58,121,2.28,40,4.31,13,1.69,27,0.81,18,1.67,39,2.59,18
26,Virginia Tech,8,4,0.69,1.96,85,0.82,112,1.58,99,3.73,43,1.27,7,1.10,42,1.20,12,2.67,20
27,San Diego State,9,3,0.65,2.45,36,2.30,20,2.07,57,3.86,31,1.79,37,1.69,74,1.77,43,2.06,3
28,Arkansas State,6,5,0.59,2.42,38,1.36,75,2.40,33,3.10,84,1.83,39,1.52,67,1.59,31,3.58,82
29,USC,11,3,0.58,2.59,26,2.15,26,2.48,26,3.52,51,2.01,49,1.56,70,1.71,42,3.64,87
30,Houston,7,5,0.56,2.29,48,1.86,34,2.18,49,3.26,74,1.73,31,1.26,52,1.81,47,2.10,5
31,Northwestern,10,3,0.56,2.09,70,0.83,111,1.49,108,4.35,12,1.53,15,1.03,33,1.43,18,2.39,11
32,LSU,8,4,0.53,2.28,50,1.74,43,1.99,63,4.42,9,1.75,34,0.80,17,1.82,48,3.67,89
33,Iowa State,7,5,0.53,2.31,46,1.92,31,2.20,46,3.25,76,1.79,36,2.10,99,1.49,25,2.58,17
34,Michigan,8,5,0.51,1.83,95,1.85,35,1.42,110,3.16,79,1.32,9,0.52,6,1.48,22,2.25,7
35,Fresno State,9,4,0.49,2.03,78,1.32,80,1.84,80,3.68,45,1.54,16,0.63,8,1.59,32,2.78,29
36,Michigan State,10,3,0.46,2.05,75,1.69,51,1.71,89,3.03,90,1.59,19,0.76,12,1.49,24,4.29,112
37,Purdue,7,6,0.45,2.03,79,1.38,74,1.89,75,3.12,83,1.58,17,0.89,20,1.56,28,2.43,12
38,Iowa,8,5,0.45,2.06,72,1.29,81,1.94,72,3.28,73,1.61,20,0.77,14,1.53,27,2.58,16
39,Miami,9,3,0.44,2.08,71,1.71,48,1.73,87,3.38,64,1.64,24,1.14,46,1.43,19,3.26,55
40,North Carolina State,8,4,0.42,2.51,32,1.84,37,2.45,30,3.37,65,2.09,56,1.00,29,2.23,79,3.17,53
41,Colorado State,6,6,0.32,2.71,21,3.06,5,2.65,18,2.68,106,2.39,81,2.03,93,2.33,88,3.47,69
42,Marshall,8,5,0.31,2.06,74,1.26,82,2.19,48,2.81,103,1.75,33,1.05,38,1.82,50,2.83,33
43,Utah,6,6,0.30,2.15,60,0.90,108,1.92,73,4.54,6,1.85,40,1.86,85,1.67,40,2.46,13
44,Northern Illinois,7,5,0.29,1.77,98,0.72,116,1.87,77,2.36,117,1.49,13,0.70,9,1.36,15,2.72,24
45,Navy,7,6,0.28,2.83,16,1.81,38,2.67,16,4.29,14,2.55,94,2.47,113,2.68,110,2.11,6
46,Boston College,7,6,0.28,1.86,92,1.50,65,1.52,106,3.05,86,1.58,18,1.34,58,1.39,16,2.55,15
47,Texas,7,6,0.27,1.70,104,1.51,64,1.07,124,3.38,62,1.42,11,0.78,16,1.13,8,3.55,77
48,Arizona,6,6,0.24,3.03,11,1.72,45,3.01,7,4.50,8,2.80,111,1.73,76,2.65,107,4.43,119
49,Duke,6,6,0.23,1.85,94,1.09,97,1.95,70,2.56,112,1.62,21,1.18,49,1.61,34,2.25,7
50,Washington State,8,4,0.22,2.13,62,1.10,93,2.03,60,3.83,35,1.91,45,1.00,29,1.62,35,3.05,48
51,Wyoming,7,5,0.21,1.73,103,0.39,127,1.60,98,2.74,104,1.52,14,1.13,43,1.18,11,3.29,60
52,Missouri,6,6,0.20,2.61,25,2.89,7,2.08,56,4.26,15,2.41,83,2.29,107,1.89,60,4.33,115
53,Louisiana Tech,6,6,0.20,2.32,45,2.40,18,2.00,61,3.55,49,2.13,61,1.76,79,2.05,69,2.86,37
54,Wake Forest,7,5,0.19,2.36,41,1.88,33,2.16,50,3.39,61,2.17,67,1.63,73,1.96,66,3.58,81
55,Kansas State,7,5,0.19,2.38,39,1.74,42,2.23,43,3.25,76,2.18,68,1.57,71,2.15,76,3.47,71
56,Eastern Michigan,5,7,0.17,1.86,91,1.34,76,1.67,93,2.94,97,1.69,28,0.89,23,1.58,29,3.14,51
57,Southern Mississippi,7,5,0.13,2.10,67,1.17,87,2.53,25,2.36,116,1.97,48,2.00,89,1.40,17,3.53,74
58,Oregon,6,6,0.12,2.33,44,1.25,84,2.06,58,3.88,29,2.20,71,1.48,64,1.87,58,3.64,85
59,Buffalo,5,6,0.11,2.27,51,1.84,36,1.99,63,3.62,46,2.17,66,1.13,44,2.33,85,3.05,47
60,Utah State,5,7,0.10,1.89,88,1.10,94,1.70,90,3.00,91,1.78,35,1.28,54,1.81,46,2.31,9
61,UAB,7,5,0.10,2.25,53,1.48,67,1.96,68,4.74,3,2.14,63,1.50,65,1.96,65,3.30,61
62,UTSA,5,5,0.10,1.75,102,1.60,57,1.61,96,2.29,119,1.65,25,1.77,81,1.18,10,3.20,54
63,Miami (OH),4,7,0.08,1.98,84,0.94,104,1.84,79,4.15,18,1.90,44,1.41,61,1.82,49,2.76,27
64,Middle Tennessee,7,6,0.08,1.99,82,1.67,52,1.78,85,4.00,22,1.91,46,1.19,50,1.66,38,2.90,39
65,Central Michigan,7,5,0.04,1.89,87,1.33,77,1.80,83,2.97,96,1.85,41,1.03,35,1.61,33,3.03,45
