team,conference,w-l,fpi,fpi_rank,fpi_trend,proj_w-l,win_out_perc,six_win_perc,win_div_perc,win_conf_perc,playoff_perc,nc_perc,win_nc
Alabama Crimson Tide,SEC,14-1,31.2,1,--,14.0-1.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Clemson Tigers,ACC,14-1,27.6,2,3,14.0-1.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Michigan Wolverines,Big Ten,10-3,27.0,3,--,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ohio State Buckeyes,Big Ten,11-2,26.2,4,2,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Washington Huskies,Pac-12,12-2,25.2,5,1,12.0-2.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
LSU Tigers,SEC,8-4,22.9,6,1,8.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oklahoma Sooners,Big 12,11-2,22.5,7,1,11.0-2.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Florida State Seminoles,ACC,10-3,22.2,8,1,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Louisville Cardinals,ACC,9-4,21.6,9,3,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
USC Trojans,Pac-12,10-3,20.1,10,--,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Auburn Tigers,SEC,8-5,19.3,11,--,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wisconsin Badgers,Big Ten,11-3,17.8,12,1,11.0-3.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Penn State Nittany Lions,Big Ten,11-3,17.6,13,1,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Miami Hurricanes,ACC,9-4,17.2,14,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Oklahoma State Cowboys,Big 12,10-3,17.1,15,3,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas A&M Aggies,SEC,8-5,15.5,16,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Tennessee Volunteers,SEC,9-4,15.5,17,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Stanford Cardinal,Pac-12,10-3,14.3,18,2,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Colorado Buffaloes,Pac-12,10-4,14.2,19,5,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Washington State Cougars,Pac-12,8-5,14.1,20,3,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
North Carolina Tar Heels,ACC,8-5,14.0,21,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Florida Gators,SEC,9-4,13.8,22,5,9.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Virginia Tech Hokies,ACC,10-4,13.7,23,--,10.0-4.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
West Virginia Mountaineers,Big 12,10-3,13.5,24,3,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Pittsburgh Panthers,ACC,8-5,12.7,25,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Western Michigan Broncos,MAC,13-1,12.7,26,1,13.0-1.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Kansas State Wildcats,Big 12,9-4,12.1,27,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Western Kentucky Hilltoppers,C-USA,11-3,11.4,28,4,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Ole Miss Rebels,SEC,5-7,11.1,29,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa Hawkeyes,Big Ten,8-5,10.7,30,4,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
BYU Cougars,FBS Indep.,9-4,9.8,31,--,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Notre Dame Fighting Irish,FBS Indep.,4-8,9.7,50,5,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Utah Utes,Pac-12,9-4,9.7,33,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
TCU Horned Frogs,Big 12,6-7,9.6,34,1,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Boise State Broncos,Mountain West,10-3,9.5,35,5,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
South Florida Bulls,American,11-2,9.3,36,2,11.0-2.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
NC State Wolfpack,ACC,7-6,8.9,37,6,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Houston Cougars,American,9-4,8.9,38,5,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Baylor Bears,Big 12,7-6,8.9,39,6,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Temple Owls,American,10-4,8.6,40,4,10.0-4.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Georgia Bulldogs,SEC,8-5,8.1,41,3,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Northwestern Wildcats,Big Ten,7-6,8.0,42,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCLA Bruins,Pac-12,4-8,7.9,43,4,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas Longhorns,Big 12,5-7,7.8,44,2,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Diego State Aztecs,Mountain West,11-3,7.5,45,6,11.0-3.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0
Georgia Tech Yellow Jackets,ACC,9-4,7.4,46,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Minnesota Golden Gophers,Big Ten,9-4,7.2,47,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Nebraska Cornhuskers,Big Ten,9-4,7.0,48,8,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Tulsa Golden Hurricane,American,10-3,7.0,49,4,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arkansas Razorbacks,SEC,7-6,6.3,50,--,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Mississippi State Bulldogs,SEC,6-7,6.2,51,5,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Memphis Tigers,American,8-5,5.9,52,5,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Texas Tech Red Raiders,Big 12,5-7,4.7,53,4,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Appalachian State Mountaineers,Sun Belt,10-3,4.6,54,5,10.0-3.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Vanderbilt Commodores,SEC,6-7,4.5,55,3,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Toledo Rockets,MAC,9-4,4.5,56,1,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Navy Midshipmen,American,9-5,4.4,57,3,9.0-5.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
California Golden Bears,Pac-12,5-7,4.4,58,2,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana Tech Bulldogs,C-USA,9-5,4.0,59,2,9.0-5.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Michigan State Spartans,Big Ten,3-9,3.9,60,2,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon Ducks,Pac-12,4-8,3.6,61,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kentucky Wildcats,SEC,7-6,2.3,62,--,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wake Forest Demon Deacons,ACC,7-6,2.2,63,3,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Missouri Tigers,SEC,4-8,2.1,64,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duke Blue Devils,ACC,4-8,1.6,65,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Iowa State Cyclones,Big 12,3-9,1.1,66,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Indiana Hoosiers,Big Ten,6-7,0.9,67,2,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Air Force Falcons,Mountain West,10-3,0.9,68,4,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Troy Trojans,Sun Belt,10-3,0.4,69,4,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arizona State Sun Devils,Pac-12,5-7,0.4,70,2,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oregon State Beavers,Pac-12,4-8,-0.0,71,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Carolina Gamecocks,SEC,6-7,-0.3,72,2,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UCF Knights,American,6-7,-0.3,73,6,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Colorado State Rams,Mountain West,7-6,-0.8,74,3,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Boston College Eagles,ACC,7-6,-1.1,75,2,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Wyoming Cowboys,Mountain West,8-6,-1.9,76,3,8.0-6.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Army Black Knights,FBS Indep.,8-5,-2.0,77,1,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Maryland Terrapins,Big Ten,6-7,-2.3,78,3,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Arizona Wildcats,Pac-12,3-9,-2.5,79,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Arkansas State Red Wolves,Sun Belt,8-5,-2.6,80,4,8.0-5.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0
Syracuse Orange,ACC,4-8,-2.7,81,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Northern Illinois Huskies,MAC,5-7,-3.4,82,--,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico Lobos,Mountain West,9-4,-3.4,83,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Virginia Cavaliers,ACC,2-10,-4.2,84,2,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old Dominion Monarchs,C-USA,10-3,-4.6,85,2,10.0-3.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Middle Tennessee Blue Raiders,C-USA,8-5,-5.0,86,3,8.0-5.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Ohio Bobcats,MAC,8-6,-5.3,87,1,8.0-6.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0
Utah State Aggies,Mountain West,3-9,-5.3,88,2,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Southern Mississippi Golden Eagles,C-USA,7-6,-5.5,89,3,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Cincinnati Bearcats,American,4-8,-5.5,90,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Central Michigan Chippewas,MAC,6-7,-5.7,91,6,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
SMU Mustangs,American,5-7,-6.0,92,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia Southern Eagles,Sun Belt,5-7,-6.0,93,1,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Illinois Fighting Illini,Big Ten,3-9,-6.0,94,3,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tulane Green Wave,American,4-8,-7.4,95,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Idaho Vandals,Sun Belt,9-4,-7.7,96,2,9.0-4.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Miami (OH) RedHawks,MAC,6-7,-8.2,97,2,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
East Carolina Pirates,American,3-9,-8.6,98,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Purdue Boilermakers,Big Ten,3-9,-8.8,99,3,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nevada Wolf Pack,Mountain West,5-7,-8.9,100,--,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UT San Antonio Roadrunners,C-USA,6-7,-9.5,101,--,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
San Jose State Spartans,Mountain West,4-8,-9.8,102,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ball State Cardinals,MAC,4-8,-9.8,103,1,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kansas Jayhawks,Big 12,2-10,-9.8,104,1,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Eastern Michigan Eagles,MAC,7-6,-9.9,105,1,7.0-6.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Louisiana Ragin' Cajuns,Sun Belt,6-7,-10.5,106,--,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
UNLV Rebels,Mountain West,4-8,-11.1,107,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Akron Zips,MAC,5-7,-11.9,108,2,5.0-7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kent State Golden Flashes,MAC,3-9,-11.9,109,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Georgia State Panthers,Sun Belt,3-9,-12.1,110,3,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hawai'i Rainbow Warriors,Mountain West,7-7,-12.1,111,4,7.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Connecticut Huskies,American,3-9,-12.2,112,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rutgers Scarlet Knights,Big Ten,2-10,-12.2,113,4,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
South Alabama Jaguars,Sun Belt,6-7,-12.5,114,2,6.0-7.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
Marshall Thundering Herd,C-USA,3-9,-12.8,115,1,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bowling Green Falcons,MAC,4-8,-14.7,116,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
North Texas Mean Green,C-USA,5-8,-14.8,117,--,5.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UMass Minutemen,FBS Indep.,2-10,-15.5,118,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida Atlantic Owls,C-USA,3-9,-16.1,119,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fresno State Bulldogs,Mountain West,1-11,-16.1,120,--,1.0-11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rice Owls,C-USA,3-9,-16.1,121,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Florida Intl Golden Panthers,C-USA,4-8,-16.6,122,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
New Mexico State Aggies,Sun Belt,3-9,-17.6,123,--,3.0-9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UTEP Miners,C-USA,4-8,-17.6,124,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Charlotte 49ers,C-USA,4-8,-17.9,125,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Louisiana Monroe Warhawks,Sun Belt,4-8,-18.8,126,--,4.0-8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buffalo Bulls,MAC,2-10,-19.7,127,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Texas State Bobcats,Sun Belt,2-10,-26.1,128,--,2.0-10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
