Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,ORD,Rk,OVD,Rk,DPD,Rk,DLD,Rk,DRD,Rk,DVD,Rk
1,Western Kentucky,12,2,1.72,3.62,1,2.63,11,3.92,1,5.81,4,1.91,40,2.16,103,1.82,27,4.42,24
2,Stanford,12,2,1.63,3.58,2,3.44,2,3.61,3,5.82,3,1.96,48,1.61,70,2.09,46,4.82,49
3,Ohio State,12,1,1.59,2.75,22,1.91,37,2.90,23,5.29,33,1.16,3,0.49,9,1.43,4,4.56,32
4,Michigan,10,3,1.46,2.81,17,2.29,18,2.91,20,5.14,52,1.36,9,0.80,20,1.52,9,3.88,5
5,Navy,10,2,1.43,3.52,3,2.21,23,3.79,2,5.96,1,2.09,65,2.95,124,1.91,33,4.43,27
6,Oklahoma,11,2,1.42,3.06,9,2.07,29,3.30,7,5.46,22,1.65,26,1.29,44,1.75,22,4.43,26
7,Clemson,13,1,1.41,2.83,16,2.15,24,3.12,15,5.49,16,1.42,11,0.24,4,1.65,14,4.03,9
8,Baylor,9,3,1.40,3.35,4,3.69,1,3.26,10,5.96,2,1.95,47,1.35,45,2.06,41,5.78,122
9,Alabama,13,1,1.34,2.36,49,1.46,62,2.62,41,5.13,53,1.02,1,0.67,13,1.14,1,3.82,3
10,San Diego State,10,3,1.30,2.64,26,1.88,39,2.80,29,5.55,11,1.34,8,0.10,2,1.67,17,4.84,52
11,Houston,12,1,1.26,2.79,19,1.50,59,3.13,13,5.47,19,1.53,17,1.66,76,1.48,7,4.82,48
12,Appalachian State,10,2,1.16,2.61,30,1.45,64,2.99,17,5.24,39,1.44,13,1.48,58,1.43,5,4.19,14
13,Toledo,10,2,1.15,2.69,25,1.58,51,2.91,19,4.79,79,1.53,18,1.20,41,1.62,12,3.93,6
14,Mississippi,9,3,1.11,2.81,18,2.24,20,2.98,18,4.98,68,1.70,30,1.44,53,1.78,25,4.73,42
15,Boise State,8,4,1.10,2.62,27,2.27,19,2.72,33,5.21,44,1.52,16,0.89,25,1.67,16,4.71,41
16,North Carolina,9,3,1.10,3.08,8,2.36,16,3.22,11,5.22,43,1.98,50,2.43,113,1.89,32,4.25,17
17,Bowling Green,10,4,1.08,3.33,5,2.79,5,3.50,4,5.59,9,2.25,77,1.76,78,2.36,72,4.27,19
18,Florida State,9,3,1.01,2.41,42,2.36,17,2.44,56,5.06,59,1.41,10,0.79,19,1.65,13,4.68,37
19,Southern Mississippi,8,5,0.98,2.99,10,2.00,31,3.13,14,5.48,18,2.01,55,1.48,57,2.23,59,4.90,56
20,Georgia Southern,8,4,0.97,2.85,15,1.67,48,3.10,16,5.21,46,1.89,36,1.57,67,1.99,37,5.24,88
21,Tennessee,8,4,0.96,2.52,35,1.26,78,2.72,32,4.76,82,1.56,21,0.44,7,2.00,38,4.45,28
22,Wisconsin,10,3,0.93,2.08,64,2.00,32,2.11,75,4.43,103,1.15,2,0.72,15,1.31,3,4.52,29
23,Notre Dame,10,3,0.84,2.88,12,2.84,4,2.89,24,5.32,31,2.03,58,1.17,38,2.31,69,5.36,95
24,Iowa,11,2,0.82,2.38,47,1.84,41,2.54,47,5.04,62,1.57,24,0.77,17,1.81,26,4.60,33
25,Marshall,9,3,0.78,2.05,70,1.97,33,2.07,78,4.13,113,1.27,6,0.73,16,1.47,6,3.85,4
26,LSU,9,3,0.73,2.77,21,1.62,50,3.18,12,5.78,5,2.04,60,1.64,72,2.15,53,5.58,112
27,Michigan State,12,2,0.68,2.48,39,1.52,57,2.65,38,5.24,38,1.79,32,1.00,28,2.03,39,4.73,43
28,Louisiana Tech,8,4,0.68,2.62,28,2.11,27,2.87,25,5.16,48,1.94,46,1.88,87,1.96,35,4.70,40
29,Temple,10,4,0.65,2.21,57,1.45,66,2.39,61,4.44,102,1.56,20,0.64,11,1.84,28,4.65,36
30,Memphis,8,4,0.64,2.86,14,2.69,7,2.91,21,5.50,15,2.22,72,2.04,97,2.26,62,5.31,92
31,TCU,10,2,0.63,2.62,29,2.37,15,2.69,34,5.10,55,1.98,51,1.55,62,2.14,52,5.00,71
32,UCLA,8,5,0.62,2.55,32,1.93,35,2.80,30,5.52,14,1.93,45,0.81,24,2.18,56,4.36,21
33,Washington State,9,3,0.60,2.60,31,1.91,36,2.83,26,4.80,78,2.00,53,1.48,59,2.12,49,4.25,18
34,Arkansas,7,5,0.60,3.16,6,2.68,8,3.26,9,5.24,41,2.56,98,2.33,109,2.67,95,5.04,75
35,USC,8,6,0.59,2.70,24,2.14,25,2.91,22,5.53,13,2.10,66,1.89,90,2.17,54,4.84,53
36,West Virginia,7,5,0.59,2.26,51,1.41,69,2.48,52,5.15,51,1.67,28,1.56,66,1.71,19,4.78,46
37,Mississippi State,8,4,0.57,2.49,38,2.68,9,2.44,55,5.35,28,1.92,43,0.59,10,2.28,63,4.68,38
38,Washington,6,6,0.55,2.11,61,1.22,83,2.34,62,5.71,6,1.57,23,1.00,29,1.74,21,4.30,20
39,Utah,10,3,0.52,2.18,59,1.33,74,2.43,57,4.98,69,1.66,27,1.17,37,1.85,29,4.15,13
40,South Florida,7,5,0.51,2.50,37,1.41,70,2.82,27,5.53,12,1.99,52,1.50,60,2.13,50,4.24,16
41,Georgia,9,3,0.50,1.75,97,1.17,88,1.91,95,3.98,118,1.25,5,0.18,3,1.59,11,3.94,7
42,BYU,8,4,0.47,2.30,50,1.43,68,2.63,39,5.40,25,1.83,33,1.65,75,1.88,31,4.83,50
43,Arkansas State,8,4,0.47,2.38,48,1.78,44,2.48,50,5.24,42,1.91,41,0.96,27,2.38,74,5.23,87
44,Oklahoma State,9,3,0.46,2.70,23,3.32,3,2.56,44,5.66,7,2.24,73,1.59,69,2.48,84,5.07,77
