Rk,Team,Wins,Losses,NPD,OPD,Rk,OLD,Rk,OMD,Rk,OSD,Rk,DPD,Rk,DLD,Rk,DMD,Rk,DSD,Rk
1,Alabama,13,1,2.65,3.99,2,2.81,9,3.53,2,5.65,1,1.34,5,0.81,16,1.30,14,2.47,11
2,Clemson,14,0,2.26,3.25,7,1.97,33,3.42,4,4.10,24,0.99,1,0.43,2,0.87,2,2.45,9
3,Utah State,10,2,1.75,3.21,8,2.40,17,3.13,7,4.04,29,1.47,11,1.94,97,1.12,8,2.91,31
4,Georgia,10,3,1.68,3.47,5,2.58,13,3.40,5,4.80,9,1.79,31,1.08,22,1.65,34,3.12,46
5,Central Florida,11,1,1.65,3.49,4,3.06,6,3.51,3,4.16,21,1.84,35,1.41,51,1.85,48,2.64,18
6,Fresno State,11,2,1.61,2.69,23,1.24,84,2.42,31,4.26,18,1.08,2,0.49,6,1.09,6,2.85,26
7,Ohio,8,4,1.44,3.53,3,3.42,3,3.07,9,4.96,7,2.09,60,1.74,80,1.91,54,3.56,76
8,Appalachian State,10,2,1.43,2.72,21,1.88,40,2.50,24,3.97,33,1.29,4,0.50,7,1.16,10,2.35,6
9,Army,9,2,1.33,3.34,6,2.80,11,3.15,6,4.17,20,2.01,51,1.80,86,1.69,42,3.79,92
10,Notre Dame,12,1,1.29,2.69,24,3.14,4,2.34,36,3.64,54,1.40,8,1.00,21,1.29,13,2.50,12
11,Oklahoma,12,2,1.24,4.13,1,4.46,1,3.87,1,5.06,6,2.89,113,3.17,127,2.54,101,4.89,126
12,Ohio State,13,1,1.19,3.07,9,1.65,57,3.03,10,4.19,19,1.88,41,1.11,26,2.03,67,3.00,36
13,Michigan,10,3,1.17,2.67,26,2.19,23,2.46,28,3.46,64,1.50,13,0.52,8,1.49,24,3.46,70
14,Cincinnati,10,2,1.06,2.54,30,1.47,72,2.48,25,3.80,39,1.49,12,1.10,24,1.06,5,3.42,67
15,Penn State,9,4,0.97,2.34,52,1.09,97,2.36,35,3.45,65,1.36,7,1.12,27,1.19,11,2.59,16
16,Mississippi State,7,5,0.96,2.31,53,1.62,61,1.99,67,4.45,13,1.35,6,0.94,20,0.85,1,3.21,50
17,Boise State,10,3,0.93,2.65,29,2.13,27,2.60,21,3.23,79,1.73,26,1.25,35,1.53,28,3.80,94
18,Washington State,10,2,0.92,3.03,10,1.52,68,2.84,14,5.22,4,2.11,62,0.33,1,2.38,90,3.43,68
19,Washington,9,4,0.89,2.44,37,1.83,44,2.34,38,3.72,49,1.55,17,0.74,13,1.35,17,3.00,36
20,North Carolina State,8,4,0.87,2.81,18,1.54,66,2.65,20,3.96,34,1.94,44,1.50,58,1.99,59,2.53,13
21,Syracuse,9,3,0.87,2.70,22,1.54,65,2.34,36,4.07,27,1.83,34,1.45,54,1.56,29,3.70,86
22,Iowa,8,4,0.80,2.31,54,1.64,60,1.54,106,4.08,26,1.51,14,1.48,57,0.93,3,3.35,60
23,West Virginia,7,4,0.79,3.00,12,1.70,54,3.11,8,3.63,55,2.21,68,1.29,38,2.14,73,3.39,62
24,Missouri,7,5,0.78,2.76,20,2.30,18,2.77,16,3.23,78,1.98,48,1.43,53,1.82,47,3.23,52
25,Buffalo,9,4,0.78,2.85,16,1.79,48,2.68,19,4.00,30,2.07,58,1.31,39,2.08,69,2.54,15
26,UAB,10,3,0.78,2.34,49,1.76,51,2.30,41,3.11,84,1.57,18,2.11,107,1.03,4,3.11,45
27,LSU,9,3,0.76,2.48,34,2.29,19,2.17,49,3.26,76,1.72,25,0.63,10,1.51,27,4.42,115
28,Georgia Southern,9,3,0.73,2.68,25,3.47,2,1.82,78,3.97,32,1.94,45,1.55,63,2.02,65,2.00,2
29,Florida,8,3,0.67,2.48,35,1.12,94,2.52,23,4.10,24,1.81,32,1.36,47,1.79,46,2.72,19
30,Auburn,7,5,0.64,2.30,55,0.87,112,2.30,40,3.40,69,1.66,20,1.10,23,1.45,20,3.59,78
31,Virginia,7,5,0.63,2.38,43,1.96,35,2.27,42,3.00,89,1.75,29,1.24,34,1.57,30,3.33,58
